UPC,Zoro_No,URL,ASIN,BSR,Price,Price difference,First Category,Seller
059733850031,G4310796,https://www.amazon.com/s?k=059733850031,N/A,N/A,N/A,N/A,N/A,N/A
193005253974,G806592515,https://www.amazon.com/s?k=193005253974,N/A,N/A,N/A,N/A,N/A,N/A
193005252229,G006592490,https://www.amazon.com/s?k=193005252229,N/A,N/A,N/A,N/A,N/A,N/A
193005195014,G3014247,https://www.amazon.com/HASME-Replacement-Replaces-AP2838563-PS8698440/dp/B0CB7NWV1C/ref=sr_1_1_sspa?keywords=193005195014&qid=1729108723&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,B0CB7NWV1C,"2,537,826",30.19,-180.73199000000002,Tools & Home Improvement,HASME
193005261931,G2444436,https://www.amazon.com/USA-Sealing-Inc-Black-Silicone-Adhesive-1/dp/B07935PV3T/ref=sr_1_1?dib=eyJ2IjoiMSJ9.S-K5xXAxfSPOqlx-2Sgs6Q.quTxKd0NOy6oCT6jwmfugwS8ZgymJdinPnhWSy62XFQ&dib_tag=se&keywords=193005261931&qid=1729108741&sr=8-1,B07935PV3T,N/A,18.48,5.28309,N/A,Amazon.com
193005192419,G3340714,https://www.amazon.com/Polyurethane-Foam-Sheet-Black-Thick/dp/B0C3TCWWHL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.deTO-v5ADISTZjZV7R4wgg.yYHK6erXU9USiUOFSTx_3kP8zR-nzPQZbbCmO0HDb7I&dib_tag=se&keywords=193005192419&qid=1729108767&sr=8-1,B0C3TCWWHL,N/A,N/A,N/A,N/A,"SIM Supply, Inc."
193005191948,G2366131,https://www.amazon.com/Polyurethane-Foam-Sheet-Black-Thick/dp/B0C3T65R5Z/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QMYaoB59br4ju0eaYobSSA.5VTct-9qY-nH3Ezym1Gnqk9YyXDr7xxOFkd4i4_RiRw&dib_tag=se&keywords=193005191948&qid=1729108889&sr=8-1,B0C3T65R5Z,N/A,175.98,33.55682999999999,N/A,Diamond Home USA
193005241711,G6758457,https://www.amazon.com/USA-Sealing-Neoprene-Acrylic-Adhesive/dp/B0793933RR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.CO4LIrtUZNWWmEBnRryLQg.KAzJwBO8ITVqzQDr9WUiQ-FvyKKwTEl86sTdsRqWobk&dib_tag=se&keywords=193005241711&qid=1729108917&sr=8-1,B0793933RR,N/A,16.67,7.803890000000001,N/A,"SIM Supply, Inc."
193005137588,G4238365,https://www.amazon.com/USA-Sealing-Foam-Sheet-Adhesive/dp/B07CSQX568/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nCg-LXPbLcQIli3PaHJAPA.6u09V5h-UrwFSpuFaFRW7_OsUSN6oMdR2bHfq1HQDlY&dib_tag=se&keywords=193005137588&qid=1729108942&sr=8-1,B07CSQX568,N/A,42.50,8.190439999999995,N/A,"SIM Supply, Inc."
193005156886,G2447683,https://www.amazon.com/USA-Sealing-Extended-Microcellular-Polyurethane/dp/B07CRS3QBM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8YI2qoJLmSB_WrX0MrVa4g.bZdWqZcwQCrT9pBRrXvptljzeEeDIL4y_-T4Hf2lvtY&dib_tag=se&keywords=193005156886&qid=1729108968&sr=8-1,B07CRS3QBM,N/A,23.85,13.251570000000001,N/A,Fix Supply Store
193005242565,G6758667,https://www.amazon.com/USA-Sealing-Neoprene-Sheet-Adhesive/dp/B07CRNQQBY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.k3B6HUfewB1mXMaqb78BYQ.RyX35-pSreDC7XFZjEW52z24Ao_h3M9bmyM_n1k4UEM&dib_tag=se&keywords=193005242565&qid=1729108994&sr=8-1,B07CRNQQBY,N/A,11.38,4.6071100000000005,N/A,Amazon.com
190735968321,G0339985,https://www.amazon.com/Hex-Nut-16-24-Gr-PK100/dp/B07PPZJRDD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.f5Dq0S21SOcYyxF8CFBA4g.Q3Z0MlXpNfBVmoG3K9SqMXkN37VB6sFqKXEQzWoL-lY&dib_tag=se&keywords=190735968321&qid=1729109019&sr=8-1,B07PPZJRDD,N/A,41.58,33.36351,N/A,"SIM Supply, Inc."
632393588720,G1051032,https://www.amazon.com/Choice-CPB058-No-6-32-Nickel-Brass/dp/B0BSJBZ2MQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xZZ0RZaEXEmAPa7JnpUYSQ.YgecMnJcm3GQgMWy-KTAlSeyZiqS8K7SEwTXWTXj5Ik&dib_tag=se&keywords=632393588720&qid=1729109045&sr=8-1,B0BSJBZ2MQ,N/A,25.45,6.767409999999998,N/A,"SIM Supply, Inc."
190735975978,G1923516,https://www.amazon.com/s?k=190735975978,N/A,N/A,35.04,9.716849999999997,N/A,N/A
